filename,time_train,MAE,RMSE,R,R2s,MAPE,NSE,KGE,PCD,KLD,VAF,A10,A20
0.30000000000000004-2-29-256-25-relu-adagrad,3.9919357299804688,0.097,0.131,0.78,0.608,0.122,0.59,0.765,0.725,2.211,58.959,0.523,0.833
0.25-2-32-64-30-sigmoid-adagrad,4.586042165756226,0.139,0.184,0.531,0.282,0.171,0.119,0.527,0.414,2.219,12.019,0.385,0.68
0.30000000000000004-3-14-128-15-tanh-adam,1.8043279647827148,0.11,0.146,0.744,0.554,0.147,0.488,0.627,0.702,2.869,55.287,0.487,0.805
0.1-3-41-256-20-relu-rmsprop,1.4841408729553223,0.182,0.208,0.824,0.679,0.232,-0.006,0.62,0.718,5.279,67.625,0.226,0.601
0.15000000000000002-2-24-128-15-relu-rmsprop,1.7199146747589111,0.102,0.131,0.838,0.702,0.116,0.561,0.809,0.723,2.989,70.069,0.454,0.78
0.1-2-21-64-25-relu-rmsprop,4.842090368270874,0.094,0.121,0.878,0.771,0.107,0.658,0.848,0.754,2.889,77.005,0.48,0.807
0.2-3-48-512-15-relu-adagrad,0.7048726081848145,0.095,0.125,0.79,0.624,0.113,0.587,0.77,0.696,2.147,61.589,0.519,0.828
0.15000000000000002-1-34-64-30-relu-adamax,5.18576455116272,0.086,0.114,0.824,0.679,0.104,0.671,0.788,0.751,2.361,67.43,0.591,0.898
0.30000000000000004-2-29-256-15-tanh-adagrad,0.8505175113677979,0.1,0.136,0.75,0.562,0.127,0.556,0.7,0.723,2.544,55.592,0.508,0.82
0.1-1-48-64-30-relu-adam,5.7787230014801025,0.076,0.104,0.87,0.757,0.09,0.751,0.861,0.776,1.994,75.235,0.641,0.916
0.1-1-23-64-15-relu-adagrad,2.5977444648742676,0.108,0.152,0.697,0.486,0.127,0.462,0.663,0.649,2.196,46.212,0.521,0.808
0.1-1-5-64-15-relu-adagrad,2.6472067832946777,0.107,0.148,0.718,0.516,0.13,0.489,0.695,0.597,1.935,48.872,0.503,0.802
0.1-1-7-64-15-relu-adagrad,2.642354726791382,0.133,0.178,0.614,0.377,0.159,0.259,0.612,0.464,2.185,25.877,0.406,0.721
0.1-1-5-64-15-relu-adagrad,2.59859299659729,0.131,0.186,0.59,0.348,0.157,0.197,0.589,0.484,2.297,19.72,0.41,0.734
0.1-1-5-64-15-relu-adagrad,2.596784830093384,0.111,0.151,0.697,0.486,0.134,0.467,0.655,0.597,2.753,46.679,0.478,0.794
0.1-1-12-64-15-relu-adagrad,2.5754642486572266,0.099,0.136,0.769,0.591,0.121,0.571,0.751,0.638,2.365,57.138,0.511,0.837
0.1-1-5-64-15-relu-adagrad,2.5432889461517334,0.139,0.189,0.553,0.306,0.168,0.165,0.547,0.388,2.318,16.488,0.376,0.709
0.15000000000000002-1-5-64-15-relu-adagrad,2.540342330932617,0.145,0.193,0.504,0.254,0.175,0.05,0.502,0.397,2.237,5.039,0.369,0.671
0.1-1-9-64-15-relu-adagrad,2.5984251499176025,0.117,0.164,0.685,0.469,0.14,0.373,0.685,0.631,2.525,37.309,0.474,0.768
0.1-1-5-64-15-relu-adagrad,2.5755324363708496,0.118,0.164,0.689,0.475,0.139,0.372,0.689,0.64,2.571,37.232,0.425,0.781
0.1-1-5-64-15-relu-adagrad,2.6365373134613037,0.116,0.159,0.683,0.466,0.138,0.414,0.671,0.632,2.391,41.396,0.457,0.786
0.1-1-5-64-15-relu-adam,2.8922226428985596,0.135,0.187,0.532,0.283,0.166,0.188,0.489,0.504,2.708,20.032,0.404,0.738
0.1-1-5-64-15-relu-adagrad,2.5621697902679443,0.144,0.2,0.538,0.289,0.173,0.067,0.538,0.423,2.052,6.706,0.374,0.672
0.1-1-5-64-15-relu-adagrad,2.65765643119812,0.142,0.197,0.531,0.282,0.17,0.098,0.529,0.424,2.46,9.8,0.394,0.702
0.1-1-5-64-15-relu-adagrad,2.605299949645996,0.12,0.162,0.673,0.453,0.146,0.389,0.665,0.531,2.269,38.933,0.449,0.746
0.25-1-6-128-20-sigmoid-adam,2.0019643306732178,0.135,0.179,0.56,0.314,0.168,0.162,0.557,0.432,2.205,16.165,0.397,0.693
0.1-1-5-64-15-relu-adagrad,2.8063511848449707,0.142,0.194,0.542,0.294,0.171,0.12,0.539,0.466,2.73,12.054,0.395,0.675
0.1-1-5-64-15-relu-adam,3.357585906982422,0.151,0.21,0.417,0.174,0.186,-0.025,0.374,0.466,2.929,1.559,0.4,0.684
0.1-1-5-64-15-relu-adagrad,3.0452311038970947,0.132,0.178,0.624,0.389,0.158,0.26,0.624,0.502,2.332,25.981,0.422,0.721
0.1-1-5-64-15-relu-adam,3.404193162918091,0.104,0.143,0.75,0.562,0.124,0.523,0.745,0.673,2.894,52.279,0.503,0.841
