Epoch,MSE
1,0.022318068579081664
2,0.006136738856884515
3,0.006037121958773079
4,0.005989170705949271
5,0.005923460053379029
6,0.00581947504546723
7,0.005684917477227359
8,0.005503521427649486
9,0.005065559109374539
10,0.00509219177844674
11,0.004383911388173651
12,0.00432194371984429
13,0.004513684604272654
14,0.004275968569075062
15,0.0038042625691804984
16,0.0037441540124878497
17,0.0038452446821419556
18,0.003831868825580957
19,0.0033660801533335625
20,0.0033938645782129193
21,0.0033954639505172257
22,0.003489988732305299
23,0.0034339097679292247
24,0.0033269981508867326
25,0.003351467118538563
26,0.003219007258805748
27,0.0032950547403643765
28,0.0032219038998206003
29,0.0032927774359410873
30,0.003106807370190636
31,0.003205715998235526
32,0.003182301627907409
33,0.0031700803540268617
34,0.003103255439886334
35,0.00311319196429999
36,0.0030954047468879594
37,0.0030939895545385736
38,0.0031728112034079465
39,0.0031326996823888274
40,0.0029098336481719737
41,0.003159581988071287
42,0.0028973313418511415
43,0.0031328499489211535
44,0.0028059686000498603
45,0.0030298865219827785
46,0.002746067654926166
47,0.0029323454945884026
48,0.0026990967099979604
49,0.0028454479234616145
50,0.0026402472652775236
51,0.0027425065343965084
52,0.0026968820052196423
53,0.002716265821573787
54,0.0026088239767792596
55,0.002622601820410047
56,0.002568420681905325
57,0.0025707016979741744
58,0.00254696607221907
59,0.0025322520662844562
60,0.0025233193468356275
61,0.0025176252668756053
62,0.0025014997919044057
63,0.0024927462146150624
64,0.002481699860956142
65,0.0024715535028587508
66,0.0024634607334236666
67,0.002451421478448405
68,0.002445924815104672
69,0.0024378058730056837
70,0.0024381463414892435
71,0.0024337874165354404
72,0.002428086068597009
73,0.0024341829921208616
74,0.0024192045002647982
75,0.0024159784398796436
76,0.002397127847859729
77,0.002400524814915167
78,0.002396230639858829
79,0.0023786263643691664
80,0.0023726331289488705
81,0.002366538603102093
82,0.0023687990857783406
83,0.0023615620387643726
84,0.002359592610845478
85,0.002366777213577625
86,0.002351187813227529
87,0.002378122241492395
88,0.002354238097392515
89,0.0023522762899608664
90,0.0023483145506320077
91,0.0023438406024755935
92,0.002336820809786634
93,0.0023345985115732454
94,0.002338272386759074
95,0.0023263324873864584
96,0.002346175103504492
